"","logFC","logCPM","LR","PValue","FDR"
"EIF2S2",0.0992082700607254,9.2936890570784,1.48973018124292,0.222258328463369,0.99083117613231
"ZNF695",0.365790157216663,0.974403064782306,1.48903416036924,0.222366375791989,0.99083117613231
"GAS6",0.400881719717797,0.907021335579154,1.48902827247459,0.222367290071896,0.99083117613231
"IER3IP1",0.148776163445605,4.77360738343151,1.48873744624535,0.222412455545599,0.99083117613231
"AKT1",-0.107238672117418,6.16015799980357,1.48711056482092,0.222665313746009,0.99083117613231
"ZNF708",-0.325530319207673,1.290337368628,1.48668175640645,0.222732018632413,0.99083117613231
"NTHL1",0.147689552990041,3.98583304451132,1.4859182025629,0.222850855328105,0.99083117613231
"AKR1C1",0.197580309047102,4.253866359788,1.48576456899802,0.222874775461176,0.99083117613231
"KLRC2",0.163736243842547,3.5959175847862,1.48572594086365,0.222880790191228,0.99083117613231
"MIEF1",-0.10293172380086,6.3739061687961,1.48535113847651,0.222939160213576,0.99083117613231
"CABP4",-0.239928165633589,2.31729272601142,1.48504559454876,0.222986757781856,0.99083117613231
"DDX46",0.11314959589366,7.72330363083438,1.48457619382077,0.2230599046383,0.99083117613231
"ARF4",0.10620969206091,7.84822105088124,1.48454110434687,0.223065373795774,0.99083117613231
"ADRA1B",-0.165503697849956,4.27030316560197,1.48393526001911,0.223159827956212,0.99083117613231
"PHF20",-0.0956659821362518,7.87993137657301,1.48358405543874,0.223214604439155,0.99083117613231
"LOC100288637",-0.306646143011548,2.39186461696894,1.48348067131147,0.223230732065761,0.99083117613231
"STRN3",0.109125031622336,5.46214392756816,1.48342804216131,0.223238942597953,0.99083117613231
"NOL11",0.0962101678521673,6.72614210693898,1.48334754614997,0.223251501263933,0.99083117613231
"P4HA1",-0.105846292093483,7.32262561907459,1.48321738896059,0.223271809658888,0.99083117613231
"STXBP5",-0.119080993778188,6.84480953563156,1.48299023123896,0.223307258324771,0.99083117613231
"RPH3AL",0.43560279110187,0.160461003511608,1.48205939425143,0.223452588753331,0.99083117613231
"AMER1",-0.290128203628108,3.58982697921575,1.48150263569463,0.223539568932768,0.99083117613231
"LRRC49",0.148749173949405,4.79271301385226,1.48118661975293,0.22358895689494,0.99083117613231
"BTBD7",-0.175051422889683,4.05167726698563,1.48081339030875,0.223647303201734,0.99083117613231
"ANTXR2",-0.302725122048767,1.01249495080452,1.479396726764,0.223868933849936,0.99083117613231
"RPS6",0.119250269975358,10.6989243807166,1.47886047564998,0.22395289659248,0.99083117613231
"RPS27L",0.124113390591557,6.13915834435394,1.47868428843775,0.223980491086934,0.99083117613231
"RC3H1",0.119571137958882,5.79465137919183,1.47853483448603,0.224003901804585,0.99083117613231
"NEURL1B",-0.188483885466498,3.54686779496004,1.47834332929632,0.224033903785424,0.99083117613231
"SART1",-0.103272957604746,6.24267644694622,1.47771626649991,0.224132175700575,0.99083117613231
"ZNF496",-0.100478237364185,6.38659890625476,1.47646290183621,0.22432875518561,0.99083117613231
"HOXB7",0.176292593602871,3.4910518968237,1.47599241814646,0.224402599865009,0.99083117613231
"DICER1",-0.128396542503643,6.28890420719854,1.47547850537428,0.224483294254632,0.99083117613231
"LINC00894",-0.419136226070376,0.810108097918696,1.47492458612145,0.224570309411309,0.99083117613231
"BRD9",-0.104375630305121,6.60393665406803,1.47439836500855,0.224653010933102,0.99083117613231
"COL6A1",-0.223042706199299,2.62325698032066,1.47230291538343,0.224982696762287,0.99083117613231
"NFATC2",-0.28190218711068,2.39131736186604,1.47219550586493,0.224999611579794,0.99083117613231
"CRLF1",-0.303069732948358,1.93961184325755,1.47168055734585,0.225080726704105,0.99083117613231
"RBM12",-0.10063961199204,6.47879710909118,1.47158592261516,0.225095637462197,0.99083117613231
"GOLGA2P5",-0.213678842817245,3.2118864838351,1.47117974012472,0.225159649507269,0.99083117613231
"AGRN",-0.0950159035932536,7.4800929888389,1.47103469529341,0.225182513037426,0.99083117613231
"EBPL",0.126732762256749,5.82741108057401,1.47059970458149,0.225251097668366,0.99083117613231
"ALG1",0.11109821591978,4.98468750637501,1.46923890577028,0.225465815617328,0.99083117613231
"PPIP5K2",0.124793966881163,5.16615283631488,1.46913612467355,0.225482043231882,0.99083117613231
"SUMO3",0.0950940393368453,6.29391957599078,1.46881009792962,0.225533527306721,0.99083117613231
"LOC155060",-0.56926113460629,0.103701239395474,1.46876534476129,0.225540595544238,0.99083117613231
"CAPG",0.110949112778276,5.32001602259831,1.46758396734367,0.225727276414674,0.99083117613231
"DNASE1L1",-0.18168952950174,3.75007812915172,1.46693665898631,0.225829642518299,0.99083117613231
"ACOT2",0.117669706755249,5.07274881802342,1.46608937406464,0.225963717374359,0.99083117613231
"DOCK2",0.392482367668215,0.90463412714197,1.46588333763624,0.225996335141114,0.99083117613231
"SLX4",-0.190652548074688,3.01963854427299,1.46559285021711,0.226042332005279,0.99083117613231
"DOK1",0.257463147029617,1.65239718762147,1.46543158586971,0.226067872057047,0.99083117613231
"EDN2",-0.346864746625089,2.49657969472278,1.46513061398383,0.226115547394412,0.99083117613231
"TRIM16L",0.0988931644134229,7.60293419841243,1.46511228179649,0.226118451687621,0.99083117613231
"DDX50",0.105332988225771,6.23068388993015,1.46367863579502,0.226345717132995,0.99083117613231
"ALKBH5",-0.0976116950518775,6.95457774801618,1.46294986236406,0.226461349430125,0.99083117613231
"ZNF385A",-0.166409227249439,3.93987356236731,1.46085187122356,0.226794627769965,0.99083117613231
"DYNLT3",0.13042238440974,5.17958720368445,1.4605951149615,0.226835455480595,0.99083117613231
"SH3BP4",-0.100834731728207,7.8527148021695,1.46021985859144,0.226895142193199,0.99083117613231
